"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:6nsLzJfvp5OLd4mgqUJkpq","Waiting For Love","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:5ttIIMPWCp2bvwsdAPcEXC","Stories","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2015-10-02","https://i.scdn.co/image/ab67616d0000b273d40648f55cadd57796f22455","1","1","230613","","false","4","CHB701400134","","2026-01-03T16:19:39Z"
"spotify:track:2ahnofp2LbBWDXcJbMaSTu","What Is Love - 7"" Mix","spotify:artist:0Suv0tRrNrUlRzAy8aXjma","Haddaway","spotify:album:0qTVjeVP70YvQG4GctetOf","What Is Love (Remixes)","spotify:artist:0Suv0tRrNrUlRzAy8aXjma","Haddaway","1993-03-22","https://i.scdn.co/image/ab67616d0000b273b219cfdd901872b475f422f6","1","3","270373","https://p.scdn.co/mp3-preview/bfed0afe24cfb5f066d4a9f8b68efb8faaac254a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","DEA410500401","","2026-01-03T16:10:47Z"
"spotify:track:2V65y3PX4DkRhy1djlxd9p","Don't You Worry Child - Radio Edit","spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:2auikkNYqigWStoHWK1Grq","Swedish House Mafia, John Martin","spotify:album:3RKhRsifs4RWrqvWV1YpPY","Don't You Worry Child","spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:2auikkNYqigWStoHWK1Grq","Swedish House Mafia, John Martin","2012-09-14","https://i.scdn.co/image/ab67616d0000b2739cfe80c0c05ce104f7bab18e","1","1","212862","","false","83","GBAAA1200728","","2026-01-03T16:10:05Z"
"spotify:track:7oVEtyuv9NBmnytsCIsY5I","BURN IT DOWN","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:4XHIjbhjRmqWlosjj5rqSI","LIVING THINGS","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2012-06-19","https://i.scdn.co/image/ab67616d0000b273987fb4c5ec8790e9f637a4a4","1","3","230253","https://p.scdn.co/mp3-preview/db2e04088575f248a4f0baf09b9165f18dd31ebb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USWB11200587","","2026-01-03T16:03:27Z"
"spotify:track:69qKkYahVzaB9Av4xISDqi","Padded Room","spotify:artist:5P9UwhERJYSoksFZerxzzL","Welyn","spotify:album:38T5wJwUMTeOj1Zqc9zO04","Padded Room","spotify:artist:5P9UwhERJYSoksFZerxzzL","Welyn","2022-05-15","https://i.scdn.co/image/ab67616d0000b273f487a71ceac8b51b5f56f020","1","1","136309","https://p.scdn.co/mp3-preview/d8531570a3b698a43648510186ec5c6293e9f8f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZHNA2217338","","2026-01-03T16:02:04Z"
"spotify:track:1qYzwcLFbsPcA5YGDdLKd4","RIDE TO THE SIDE","spotify:artist:3FXk7WOqY2ZeSzCVJFHJUZ","O2worldwide","spotify:album:5wzvIXcoBWVrh2J2dAbKnU","BACK ON TRACK","spotify:artist:3FXk7WOqY2ZeSzCVJFHJUZ","O2worldwide","2021-02-17","https://i.scdn.co/image/ab67616d0000b273ed84e5db3e3c411a4eebb8a3","1","3","161250","https://p.scdn.co/mp3-preview/74cc2c13dbf18cb72103b8627dfc8a5f4f439442?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","QZHN61955404","","2026-01-03T16:01:08Z"
"spotify:track:1aRVRWthTQXuShR7QtFU8W","Backyard","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","spotify:album:4eosP6b4AHx0GA5Z9WVu0D","FOTO","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","2019-05-15","https://i.scdn.co/image/ab67616d0000b273c38a6416ad397465bf4d1b47","1","14","206000","https://p.scdn.co/mp3-preview/fb61e89afe878e7a4e1182e478a1c5ebd9d8c676?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","QZES71973357","","2026-01-03T16:01:06Z"
"spotify:track:7h74CoD9Vj5TTDtGQziwpw","We'll Be Good","spotify:artist:2kRAvabCuU4rJiV6Lw5SFT","Yoza","spotify:album:0EAgfVeXQTWw4ObiVPQze4","We'll Be Good","spotify:artist:2kRAvabCuU4rJiV6Lw5SFT","Yoza","2020-11-05","https://i.scdn.co/image/ab67616d0000b27395e3019c38392223e11d65a1","1","1","194813","https://p.scdn.co/mp3-preview/5b6be7e7491e2f46e81097f17447d43b8bc84e50?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","QZ93L2053468","","2026-01-03T15:58:18Z"
"spotify:track:40ZsN7vKatjbyoY8zx0DM8","Hollywood","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","spotify:album:4eosP6b4AHx0GA5Z9WVu0D","FOTO","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","2019-05-15","https://i.scdn.co/image/ab67616d0000b273c38a6416ad397465bf4d1b47","1","4","241678","https://p.scdn.co/mp3-preview/51169810a56c6f394b9d6226473fe0e0b74be151?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","QZ85M1934916","","2026-01-03T15:57:32Z"
"spotify:track:5oKI4OZkjK2UOnTZdBP61G","BLUEBIRD","spotify:artist:0CTpeTOAvzc1FOlPj4uYWV, spotify:artist:1t9KewtUvFMq6q7FRX1nHC","Ben Beal, Kill Bill: The Rapper","spotify:album:07TD5SupBXtIuvcfDwVfxN","BLUEBIRD","spotify:artist:0CTpeTOAvzc1FOlPj4uYWV, spotify:artist:1t9KewtUvFMq6q7FRX1nHC","Ben Beal, Kill Bill: The Rapper","2020-06-24","https://i.scdn.co/image/ab67616d0000b2738c6571154fdfde97a32aa4c8","1","1","174007","https://p.scdn.co/mp3-preview/5989d8cfbd90e6e18d287197b5353a66fc5d3540?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","ESA012058197","","2026-01-03T15:57:28Z"
